":@computed_region_43an_4dx5",":@computed_region_9yqb_tdyd","area_name","area_type","city","county","grade_category","location_1","location_1_address","location_1_city","location_1_state","location_1_zip","location_code","obese_1","obese_2","overweight_1","overweight_2","overweight_or_obese_1","overweight_or_obese_2","region","school_years","state","street_address","zip_code"
"13","2030","GREEN ISLAND UNION FREE SCHOOL DISTRICT","SCHOOL DISTRICT","GREEN ISLAND","ALBANY","MIDDLE/HIGH","POINT (-73.6906 42.7462)",,,,,"010701",,,,,,,"NORTHEASTERN NEW YORK","2010-2012","NY","171 HUDSON AVE","12183"
"1229","2030","GUILDERLAND CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","GUILDERLAND","ALBANY","DISTRICT TOTAL","POINT (-73.8954 42.6921)",,,,,"010802","233","0.151","211","0.137","444","0.288","NORTHEASTERN NEW YORK","2010-2012","NY","6076 STATE FARM RD","12084"
"1229","2030","GUILDERLAND CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","GUILDERLAND","ALBANY","ELEMENTARY","POINT (-73.8954 42.6921)",,,,,"010802","126","0.147","116","0.135","242","0.282","NORTHEASTERN NEW YORK","2010-2012","NY","6076 STATE FARM RD","12084"
"1229","2030","GUILDERLAND CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","GUILDERLAND","ALBANY","MIDDLE/HIGH","POINT (-73.8954 42.6921)",,,,,"010802","107","0.156","95","0.139","202","0.295","NORTHEASTERN NEW YORK","2010-2012","NY","6076 STATE FARM RD","12084"
"16","2030","VOORHEESVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","VOORHEESVILLE","ALBANY","DISTRICT TOTAL","POINT (-73.9629 42.6404)",,,,,"011003","42","0.118","59","0.166","101","0.284","NORTHEASTERN NEW YORK","2010-2012","NY","432 NEW SALEM RD","12186"
"16","2030","VOORHEESVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","VOORHEESVILLE","ALBANY","ELEMENTARY","POINT (-73.9629 42.6404)",,,,,"011003","18","0.097","29","0.156","47","0.253","NORTHEASTERN NEW YORK","2010-2012","NY","432 NEW SALEM RD","12186"
"16","2030","VOORHEESVILLE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","VOORHEESVILLE","ALBANY","MIDDLE/HIGH","POINT (-73.9629 42.6404)",,,,,"011003","24","0.141","30","0.176","54","0.318","NORTHEASTERN NEW YORK","2010-2012","NY","432 NEW SALEM RD","12186"
"19","2030","WATERVLIET CITY SCHOOL DISTRICT","SCHOOL DISTRICT","WATERVLIET","ALBANY","DISTRICT TOTAL","POINT (-73.7165 42.7321)",,,,,"011200","145","0.318","87","0.191","232","0.509","NORTHEASTERN NEW YORK","2010-2012","NY","1245 HILLSIDE DR","12189"
"19","2030","WATERVLIET CITY SCHOOL DISTRICT","SCHOOL DISTRICT","WATERVLIET","ALBANY","ELEMENTARY","POINT (-73.7165 42.7321)",,,,,"011200","62","0.221","61","0.218","123","0.439","NORTHEASTERN NEW YORK","2010-2012","NY","1245 HILLSIDE DR","12189"
"19","2030","WATERVLIET CITY SCHOOL DISTRICT","SCHOOL DISTRICT","WATERVLIET","ALBANY","MIDDLE/HIGH","POINT (-73.7165 42.7321)",,,,,"011200","53","0.27","34","0.173","87","0.444","NORTHEASTERN NEW YORK","2010-2012","NY","1245 HILLSIDE DR","12189"
"1751","2031","ALFRED ALMOND CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","ALMOND","ALLEGANY","DISTRICT TOTAL","POINT (-77.749 42.2954)",,,,,"020101","9","0.049","23","0.126","32","0.176","WESTERN NEW YORK","2010-2012","NY","6795 RT 21","14804"
"1751","2031","ALFRED ALMOND CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","ALMOND","ALLEGANY","ELEMENTARY","POINT (-77.749 42.2954)",,,,,"020101",,,"13","0.12","13","0.12","WESTERN NEW YORK","2010-2012","NY","6795 RT 21","14804"
"1751","2031","ALFRED ALMOND CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","ALMOND","ALLEGANY","MIDDLE/HIGH","POINT (-77.749 42.2954)",,,,,"020101","5","0.074","8","0.118","13","0.191","WESTERN NEW YORK","2010-2012","NY","6795 RT 21","14804"
"1753","2031","ANDOVER CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","ANDOVER","ALLEGANY","DISTRICT TOTAL","POINT (-77.792 42.1586)",,,,,"020601","18","0.13","25","0.181","43","0.312","WESTERN NEW YORK","2010-2012","NY","31-35 ELM ST","14806"
